variant,system,tick,actual_request_rate,scaled_demand,predicted_demand,p10,p50,p90,monitored,burst,next_interval_seconds,after_stretched_interval,replicas,cpu_millicores,utilization,response_ms,slo_violation,resource_cost,rolling_overlap_cost,execution_backend
novelty_1_tuned_adaptive_burst,hybrid,0,839.0,526.3855001742768,566.0967905459192,566.0967905459192,566.0967905459192,566.0967905459192,True,False,60,False,1,600,1.5,687.5,True,0.036,0.0,rolling
novelty_1_tuned_adaptive_burst,hybrid,1,721.0,452.3527361449983,581.8691564751766,581.8691564751766,581.8691564751766,581.8691564751766,True,False,60,False,2,800,0.6731439525967237,134.9030347565214,False,0.10319999999999999,0.026399999999999996,rolling
novelty_1_tuned_adaptive_burst,hybrid,2,992.0,622.3771348902056,549.5635750534275,549.5635750534275,549.5635750534275,549.5635750534275,True,False,60,False,2,800,0.9261564507294727,222.99655440276464,False,0.09599999999999999,0.0,rolling
novelty_1_tuned_adaptive_burst,hybrid,3,948.0,594.7716974555594,620.0786492199059,620.0786492199059,620.0786492199059,620.0786492199059,True,False,60,False,2,800,0.8850769307374396,204.8002825299447,False,0.09599999999999999,0.0,rolling
novelty_1_tuned_adaptive_burst,hybrid,4,1047.0,656.8839316835134,618.175766701962,618.175766701962,618.175766701962,618.175766701962,True,False,60,False,2,800,0.977505850719514,248.12434352106266,False,0.09599999999999999,0.0,rolling
novelty_1_tuned_adaptive_burst,hybrid,5,1145.0,718.3687696061346,652.9114765343493,652.9114765343493,652.9114765343493,652.9114765343493,True,False,60,False,2,800,1.0690011452472241,299.8907783424432,False,0.09599999999999999,0.0,rolling
novelty_1_tuned_adaptive_burst,hybrid,6,904.0,567.1662600209132,692.846963244433,692.846963244433,692.846963244433,692.846963244433,True,False,60,False,2,800,0.8439974107454066,188.2170891366551,False,0.09599999999999999,0.0,rolling
novelty_1_tuned_adaptive_burst,hybrid,7,1008.0,632.4154757755316,635.8331697553622,635.8331697553622,635.8331697553622,635.8331697553622,True,False,60,False,3,600,0.8365284071104916,185.36941902754154,False,0.1272,0.040799999999999996,rolling
novelty_1_tuned_adaptive_burst,hybrid,8,965.0,605.4374346462182,662.1028417388497,662.1028417388497,662.1028417388497,662.1028417388497,True,False,60,False,2,800,0.9009485634616342,211.63533910125068,False,0.11759999999999998,0.040799999999999996,rolling
novelty_1_tuned_adaptive_burst,hybrid,9,1099.0,689.5085395608226,652.690155118652,652.690155118652,652.690155118652,652.690155118652,True,False,60,False,2,800,1.026054374346462,274.4391141456363,False,0.09599999999999999,0.0,rolling
